,Avg. Processing Time (s),No. Iterations,Avg. Selection Depth,Avg. Playout Depth,Action Combos Processed,Wins (Avg. Time Left (s)),Losses (Timeout),Losses (Death),Win Rate (%),,,Normal World,Fear World,Improvement
Depth-Limited GOAP,0.001,NA,NA,NA,224.3,0,1,9,0%,,Depth-Limited GOAP,0.001,0.002,50%
MCTS,0.41,800,5.81,19.3,NA,0,1,9,0%,,MCTS,0.41,0.23,-44%
MCTS w/ Biased Playout,0.67,800,4.745,24.82,NA,0,0,10,0%,,MCTS w/ Biased Playout,0.67,0.63,-6%
MCTS w/ Limited Biased Playout,0.48,800,6.302,5,NA,6 (12.3),1,3,60%,,MCTS w/ Limited Biased Playout,0.48,0.38,-21%
MCTS w/Biased RAVE,0.16,800,5.3,22.3,NA,0,1,9,0%,,MCTS w/Biased RAVE,0.16,0.1,-37.50%
MCTS w/ Child Culling,0.51,800,5.2,21.34,NA,1 (12),0,9,10%,,MCTS w/ Child Culling,0.51,0.38,-26%
MCTS w/ Biased Playout & Child Culling,0.59,800,8.81,18.1,NA,1 (16),0,9,10%,,MCTS w/ Biased Playout & Child Culling,0.59,0.41,-37%
MCTS w/ Limited Biased Playout & Child Culling,0.47,800,7.32,5,NA,5 (14.3),2,3,50%,,MCTS w/ Limited Biased Playout & Child Culling,0.47,0.28,-41%
MCTS w/ Biased Rave & Child Culling,0.24,800,7.04,18.3,NA,1 (30),5,4,10%,,MCTS w/ Biased Rave & Child Culling,0.24,0.17,-30%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Avg. Processing Time (s),No. Iterations,Avg. Selection Depth,Avg. Playout Depth,Action Combos Processed,Wins (Avg. Time Left),Losses (Timeout),Losses (Death),Win Rate (%),,,,,
Depth-Limited GOAP,0.0024,NA,NA,NA,8.385,1 (2),1,8,10%,,,,,
MCTS,0.425,800,5.112,17.585,NA,9 (22),2,0,80%,,,,,
MCTS w/ Biased Playout,0.85,800,4.06,16.54,NA,7 (14),3,0,70%,,,,,
MCTS w/ Limited Biased Playout,0.428,800,6.702,5,NA,10 (10.4),0,0,100%,,,,,
MCTS w/Biased RAVE,0.236,800,4.886,15.7,NA,4 (2.5),6,0,40%,,,,,
MCTS w/ Child Culling,0.355,800,6,15.135,NA,10 (33.6),0,0,100%,,,,,
MCTS w/ Biased Playout & Child Culling,0.42,800,6.61,14.12,NA,10 (30),0,0,100%,,,,,
MCTS w/ Limited Biased Playout & Child Culling,0.32,800,8.29,5,NA,10 (22),0,0,100%,,,,,
MCTS w/ Biased Rave & Child Culling,0.1,800,5.68,10.62,NA,8 (14),2,0,80%,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Avg. Processing Time (s),No. Iterations,Avg. Selection Depth,Avg. Playout Depth,Action Combos Processed,Wins (Avg. Time Left),Losses (Timeout),Losses (Death),Win Rate (%),,,,,
Depth-Limited GOAP,0.018,NA,NA,NA,389.4,8 (47.5),1,1,80%,,,,,
MCTS,0.518,800,5.234,17.35,NA,9 (27.6),1,0,90%,,,,,
MCTS w/ Biased Playout,0.57,800,4.7025,12.4,NA,9 (22.5),1,0,90%,,,,,
MCTS w/ Limited Biased Playout,0.52,800,8.4,5,NA,10 (35.3),0,0,100%,,,,,
MCTS w/Biased RAVE,0.1325,800,4.847,10.8,NA,9 (29.5),1,0,90%,,,,,
MCTS w/ Child Culling,0.42,800,5.76,18.05,NA,10 (62),0,0,100%,,,,,
MCTS w/ Biased Playout & Child Culling,0.58,800,6.23,13.57,NA,10 (35),0,0,100%,,,,,
MCTS w/ Limited Biased Playout & Child Culling,0.37,800,9.45,5,NA,10 (26),0,0,100%,,,,,
MCTS w/ Biased Rave & Child Culling,0.14,800,6.03,11.35,NA,10 (47.4),0,0,100%,,,,,
